Position,Title,Rating,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross
63,The Shining(1980),8.4,"$19,000,000 ","$622,337 ","$45,332,952 ","$46,998,772 "
67,Spider-Man: Into the Spider-Verse(2018),8.4,"$90,000,000 ","$35,363,376 ","$190,241,310 ","$375,540,831 "
62,Joker(2019),8.4,"$55,000,000 ","$96,202,337 ","$335,451,311 ","$1,074,251,311 "
59,Paths of Glory(1957),8.4,"$935,000 ",,,"$5,252 "
53,Apocalypse Now(1979),8.4,"$31,500,000 ","$118,558 ","$83,471,511 ","$92,149,094 "
54,Memento(2000),8.4,"$9,000,000 ","$235,488 ","$25,544,867 ","$40,047,078 "
88,Taare Zameen Par(2007),8.4,,"$352,568 ","$1,223,869 ","$21,897,373 "
65,Sunset Blvd.(1950),8.4,"$1,752,000 ","$169,067 ","$299,645 ","$300,073 "
57,Django Unchained(2012),8.4,"$100,000,000 ","$30,122,888 ","$162,805,434 ","$426,074,373 "
77,Capharnaüm(2018),8.4,"$4,000,000 ","$24,988 ","$1,661,096 ","$64,417,003 "
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb(1964),8.4,"$1,800,000 ","$11,751 ","$9,440,272 ","$9,443,876 "
80,Tengoku to jigoku(1963),8.4,,"$15,942 ","$46,808 ","$46,808 "
73,Kimi no na wa.(2016),8.4,"JPY370,000,000","$1,813,781 ","$5,017,246 ","$358,922,706 "
51,Rear Window(1954),8.4,"$1,000,000 ",,"$36,764,313 ","$37,034,514 "
61,WALL·E(2008),8.4,"$180,000,000 ","$63,087,526 ","$223,808,164 ","$521,311,890 "
52,Alien(1979),8.4,"$11,000,000 ","$3,527,881 ","$81,900,459 ","$106,285,522 "
66,Witness for the Prosecution(1957),8.4,"$3,000,000 ",,,"$7,693 "
75,Coco(2017),8.4,"$175,000,000 ","$50,802,605 ","$210,460,015 ","$807,817,888 "
69,Mononoke-hime(1997),8.4,"JPY2,400,000,000","$144,446 ","$4,845,631 ","$169,785,704 "
97,Dangal(2016),8.4,"INR700,000,000","$3,248,481 ","$12,391,761 ","$303,723,636 "
94,M - Eine Stadt sucht einen Mörder(1931),8.3,,"$6,123 ","$35,566 ","$35,566 "
79,Braveheart(1995),8.3,"$72,000,000 ","$9,938,276 ","$75,609,945 ","$213,216,216 "
155,Babam ve Oglum(2005),8.3,,,,"$18,612,999 "
243,Drishyam(2013),8.3,"INR35,000,000",,,"$13,076,265 "
117,The Apartment(1960),8.3,"$3,000,000 ",,"$18,600,000 ","$18,778,454 "
109,Incendies(2010),8.3,"$6,800,000 ","$50,679 ","$2,071,334 ","$7,099,598 "
120,The Father(2020),8.3,,,"$1,707,213 ","$3,887,138 "
115,Amélie(2001),8.3,"$10,000,000 ","$136,470 ","$33,225,499 ","$173,924,742 "
106,Scarface(1983),8.3,"$25,000,000 ","$4,597,536 ","$45,408,703 ","$65,884,703 "
116,Metropolis(1927),8.3,"DEM6,000,000","$19,386 ","$1,236,166 ","$1,349,711 "
78,American Beauty(1999),8.3,"$15,000,000 ","$861,531 ","$130,096,601 ","$356,296,601 "
98,Idi i smotri(1985),8.3,,"$16,053 ","$71,909 ","$20,929,068 "
82,Das Boot(1981),8.3,"DEM32,000,000","$26,994 ","$11,487,676 ","$11,487,676 "
107,A Clockwork Orange(1971),8.3,"$2,200,000 ",,"$26,589,355 ","$26,904,636 "
217,Anand(1971),8.3,"INR3,000,000",,,
90,2001: A Space Odyssey(1968),8.3,"$12,000,000 ","$202,759 ","$60,405,931 ","$65,783,882 "
114,Lawrence of Arabia(1962),8.3,"$15,000,000 ","$20,846 ","$45,306,425 ","$45,715,757 "
89,Reservoir Dogs(1992),8.3,"$1,200,000 ","$147,839 ","$2,832,029 ","$2,892,430 "
105,North by Northwest(1959),8.3,"$3,101,000 ",,,"$73,695 "
100,The Kid(1921),8.3,"$250,000 ",,,"$26,916 "
92,Jagten(2012),8.3,"$3,800,000 ","$43,045 ","$613,308 ","$15,843,274 "
87,Star Wars: Episode VI - Return of the Jedi(1983),8.3,"$32,500,000 ","$23,019,618 ","$309,306,177 ","$475,106,177 "
103,Ikiru(1952),8.3,,"$2,149 ","$60,239 ","$96,302 "
101,Ladri di biciclette(1948),8.3,"$133,000 ","$25,377 ","$371,111 ","$428,978 "
93,Vertigo(1958),8.3,"$2,479,000 ","$252,880 ","$7,705,225 ","$7,797,300 "
84,Amadeus(1984),8.3,"$18,000,000 ","$505,276 ","$51,973,029 ","$52,066,791 "
99,Singin' in the Rain(1952),8.3,"$2,540,800 ","$13,643 ","$1,826,108 ","$1,865,056 "
96,Citizen Kane(1941),8.3,"$839,727 ",,"$1,585,634 ","$1,600,719 "
85,Inglourious Basterds(2009),8.3,"$70,000,000 ","$38,054,676 ","$120,540,719 ","$321,457,747 "
81,Toy Story(1995),8.3,"$30,000,000 ","$29,140,617 ","$223,225,679 ","$394,436,586 "
102,Full Metal Jacket(1987),8.3,"$30,000,000 ","$2,217,307 ","$46,357,676 ","$46,357,676 "
119,Double Indemnity(1944),8.3,"$927,262 ",,,"$13,886 "
133,Bacheha-Ye aseman(1997),8.3,"$180,000 ","$20,100 ","$933,933 ","$933,933 "
74,Aliens(1986),8.3,"$18,500,000 ","$10,052,042 ","$85,160,248 ","$131,060,248 "
86,Good Will Hunting(1997),8.3,"$10,000,000 ","$272,912 ","$138,433,435 ","$225,933,435 "
104,Snatch(2000),8.3,"GBP6,000,000","$27,932 ","$30,328,156 ","$83,557,872 "
91,Requiem for a Dream(2000),8.3,"$4,500,000 ","$64,770 ","$3,635,482 ","$7,390,108 "
113,The Sting(1973),8.3,"$5,500,000 ",,"$156,000,000 ","$156,000,000 "
95,Eternal Sunshine of the Spotless Mind(2004),8.3,"$20,000,000 ","$8,175,198 ","$34,400,301 ","$74,036,715 "
108,1917(2019),8.3,"$95,000,000 ","$576,216 ","$159,227,644 ","$384,965,466 "
